ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
100649,CR030032,1998,1,25,25530,PARATEBUENO,CUNDINAMARCA,PIEDEMONTE LLANERO,RUTA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1,1,0,0,1,1,0,0,2,,VENTA A BAJO PRECIO.,5,ARMA DE FUEGO,POINT (-73.2128272365 4.3748327813)
102446,,2007,10,17,27361,ISTMINA,CHOCO,VALLE DE SAN JUAN,ENGAÑO,GRUPO POSDESMOVILIZACIÓN,LOS RASTROJOS,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.6851803224 5.1539464955)
105517,,2005,12,7,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,ASALTO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-72.24190502 11.3783267846)
105564,,2000,6,18,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,SICARIATO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,3,0,0,,,4,ARMA DE FUEGO,POINT (-72.24190502 11.3783267846)
105630,,2002,6,2,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,SICARIATO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-72.24190502 11.3783267846)
105646,,2002,8,6,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,1,,,4,ARMA DE FUEGO,POINT (-72.24190502 11.3783267846)
106422,,1988,7,12,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,RUTA,GRUPO PARAMILITAR,OTRO,0,0,0,0,0,0,0,0,1,,,5,ND,POINT (-74.1908941206 11.2294335041)
107728,CR036098,2002,3,7,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ASALTO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.1908941206 11.2294335041)
108305,,1988,7,12,47189,CIENAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,RUTA,GRUPO PARAMILITAR,OTRO,1,1,0,0,1,0,0,0,2,,,5,ARMA DE FUEGO - OBJETO CONTUNDENTE,POINT (-74.0240432215 10.7696471787)
109656,,1995,5,21,47268,EL RETEN,MAGDALENA,CIENAGA GRANDE DE SANTA MARTA,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.2684560983 10.6106676606)
