ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
106422,1988,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,RUTA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,1,,,5,,POINT (-74.1908941206 11.2294335041)
108305,1988,CIENAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,RUTA,GRUPO PARAMILITAR,,1,1,0,0,1,0,0,0,1,,,5,ARMA DE FUEGO - OBJETO CONTUNDENTE,POINT (-74.0240432215 10.7696471787)
109656,1995,EL RETEN,MAGDALENA,CIENAGA GRANDE DE SANTA MARTA,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.2684560983 10.6106676606)
110073,1993,ARACATACA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,1,,,5,,POINT (-74.1867628365 10.589800014)
110860,1997,SANTA ANA,MAGDALENA,SUR DE MAGDALENA,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,INTENTO DE OCULTAMIENTO DE CADÁVER,4,,POINT (-74.5676576229 9.321837859)
114972,1988,VISTAHERMOSA,META,ARIARI GUAYABERO,INTERCEPTACIÓN,GUERRILLA,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.7511667597 3.1257520996)
118230,1999,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,ATAQUE INDISCRIMINADO,GRUPO PARAMILITAR,,0,0,0,0,0,0,5,0,0,,SEÑALAMIENTO,5,ARMA DE FUEGO,POINT (-72.5082561962 7.9053062946)
122674,2005,PEREIRA,RISARALDA,EJE CAFETERO,DESCONOCIDA,DESCONOCIDO,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO - ASFIXIA MEC NICA,POINT (-75.7171230555 4.805680265)
124971,1996,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,SICARIATO,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,1,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.8499569753 7.064963864)
128631,2000,SABANA DE TORRES,SANTANDER,MAGDALENA MEDIO,RUTA,GRUPO PARAMILITAR,,1,1,0,0,1,0,0,1,1,,,5,ARMA DE FUEGO,POINT (-73.4990501608 7.3919119442)
231678,1996,AGUACHICA,CESAR,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-73.599028585 8.3103369584)
129995,2003,GALERAS,SUCRE,MORROSQUILLO Y SABANAS DE SUCRE,ASALTO,GRUPO ARMADO NO DIRIMIDO,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.8940773523 9.1265059929)
